orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,Neur1,Neur2,Neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
Org A,male,27.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0
Org A,female,25.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
Org A,female,40.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
Org A,male,40.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0
Org A,female,32.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
Org A,female,32.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,2.5901148266542755
Org A,male,51.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0
Org A,female,28.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0
Org A,female,43.0,2.7746205639374066,2.9969752855776672,2.8540314029178337,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.918799176845276,2.5733141829638444,2.8754202587311952,1.0,1.0,1.0,2.0,3.0,2.0
Org A,female,37.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Org A,female,31.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,7.0,4.0,6.0,4.0,1.0,4.0,6.0,6.0,2.5901148266542755
Org A,male,47.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
Org A,female,28.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,6.0,6.0,7.0
Org A,female,26.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
Org A,male,36.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
Org A,female,51.0,3.0,3.415774044756063,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
