orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,neur1,neur2,neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
0,1,27.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0
0,0,25.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
0,0,40.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
0,1,40.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0
0,0,32.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
0,0,32.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,2.5901148266542755
0,1,51.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0
0,0,28.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0
0,0,43.0,2.774620563937406,2.9969752855776672,2.8540314029178337,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.918799176845276,2.5733141829638444,2.8754202587311952,1.0,1.0,1.0,2.0,3.0,2.0
0,0,37.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,31.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,7.0,4.0,6.0,4.0,1.0,4.0,6.0,6.0,2.5901148266542755
0,1,47.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
0,0,28.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,6.0,6.0,7.0
0,0,26.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
0,1,36.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
0,0,51.0,3.0,3.415774044756063,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,38.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,40.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0
0,0,22.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0
0,1,41.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
0,0,27.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,40.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,6.0
0,0,26.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
0,1,36.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0
0,0,28.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,1.0
0,1,27.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0
0,0,27.0,3.490324652486971,3.5651883762035173,3.551869767880966,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
0,0,25.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0,0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.2139760927716554,2.6227197897421077,2.2892932250968303,3.777671065254737,3.9575253762818927,3.868256258405971,6.0,6.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0
0,1,37.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,5.0,3.0,4.0,2.0,5.0,7.0,2.0,6.0,6.0,7.0,6.0
0,1,23.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,5.0,4.0,6.0,4.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0
0,0,27.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
0,0,37.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,7.0,7.0,5.0,5.0
0,1,23.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,39.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
0,0,37.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,2.8103733137641167,3.05352345004512,2.0,2.0,2.0
0,0,33.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0
0,0,23.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,3.0
0,1,32.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,6.0
0,1,34.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
0,1,34.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
0,0,18.0,3.0,3.0,1.0,5.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,5.0,5.0
0,0,30.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0
0,0,32.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0
0,0,37.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,6.0,6.0,6.0,3.0,2.0,1.0,7.0,7.0,4.0
0,0,48.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
0,0,35.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
0,1,44.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0
0,0,21.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0
2,1,45.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,7.0,7.0,7.0,1.0
2,0,23.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0
2,1,34.0,1.3506695005158955,1.6157664669522716,1.7990239664295211,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,7.0,3.0,1.0,4.0,4.0,2.0
2,1,32.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,35.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,3.0,4.0
2,1,56.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0
2,1,58.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,2.0,5.0,5.0,5.0,3.0
2,1,30.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
2,1,40.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,7.0,7.0,6.0
2,1,38.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,7.0,7.0
2,1,29.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0
2,1,55.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0
2,0,36.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
2,0,39.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0
2,0,41.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
2,1,24.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,6.0,1.0,5.0,5.0,5.0
2,1,32.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0
2,1,33.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,3.0,3.137091262075839,2.728096456137529,3.1107906291354497,3.128147491193788,3.129874649345323,2.843110511464267
2,0,37.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
